year,tree_id,species,bb_doy,fbb_doy,fbb_minus_bb
1990,ACPE-01,ACPE,121,136,15
1991,ACPE-01,ACPE,119,124,5
1992,ACPE-01,ACPE,134,134,0
1993,ACPE-01,ACPE,116,130,14
1994,ACPE-01,ACPE,121,134,13
1995,ACPE-01,ACPE,126,134,8
1996,ACPE-01,ACPE,125,136,11
1997,ACPE-01,ACPE,129,138,9
1998,ACPE-01,ACPE,111,122,11
1999,ACPE-01,ACPE,120,NA,NA
2000,ACPE-01,ACPE,125,128,3
2001,ACPE-01,ACPE,123,NA,NA
2002,ACPE-01,ACPE,110,128,18
2003,ACPE-01,ACPE,127,132,5
2004,ACPE-01,ACPE,122,123,1
2005,ACPE-01,ACPE,128,132,4
2006,ACPE-01,ACPE,122,126,4
2007,ACPE-01,ACPE,126,130,4
2008,ACPE-01,ACPE,122,130,8
2009,ACPE-01,ACPE,119,119,0
2010,ACPE-01,ACPE,107,112,5
2011,ACPE-01,ACPE,125,128,3
2012,ACPE-01,ACPE,107,112,5
2013,ACPE-01,ACPE,124,128,4
2014,ACPE-01,ACPE,130,130,0
2015,ACPE-01,ACPE,126,129,3
2016,ACPE-01,ACPE,127,133,6
2017,ACPE-01,ACPE,118,122,4
2018,ACPE-01,ACPE,126,130,4
2019,ACPE-01,ACPE,127,128,1
2020,ACPE-01,ACPE,133,137,4
2021,ACPE-01,ACPE,120,125,5
2022,ACPE-01,ACPE,125,130,5
2023,ACPE-01,ACPE,116,125,9
1990,ACPE-02,ACPE,126,136,10
1991,ACPE-02,ACPE,119,128,9
1992,ACPE-02,ACPE,138,138,0
1993,ACPE-02,ACPE,123,130,7
1994,ACPE-02,ACPE,127,127,0
1995,ACPE-02,ACPE,128,139,11
1996,ACPE-02,ACPE,132,140,8
1997,ACPE-02,ACPE,134,144,10
1998,ACPE-02,ACPE,119,126,7
1999,ACPE-02,ACPE,125,144,19
2000,ACPE-02,ACPE,128,128,0
2001,ACPE-02,ACPE,124,124,0
2002,ACPE-02,ACPE,122,128,6
2003,ACPE-02,ACPE,132,132,0
2004,ACPE-02,ACPE,126,128,2
2005,ACPE-02,ACPE,132,132,0
2006,ACPE-02,ACPE,127,126,-1
2007,ACPE-02,ACPE,130,130,0
2008,ACPE-02,ACPE,129,130,1
2009,ACPE-02,ACPE,122,122,0
2010,ACPE-02,ACPE,114,116,2
2011,ACPE-02,ACPE,130,132,2
2012,ACPE-02,ACPE,113,118,5
2013,ACPE-02,ACPE,127,128,1
2014,ACPE-02,ACPE,133,134,1
2015,ACPE-02,ACPE,129,129,0
2016,ACPE-02,ACPE,133,133,0
2017,ACPE-02,ACPE,122,127,5
2018,ACPE-02,ACPE,127,130,3
2019,ACPE-02,ACPE,129,134,5
2020,ACPE-02,ACPE,137,137,0
2021,ACPE-02,ACPE,124,125,1
2022,ACPE-02,ACPE,130,130,0
2023,ACPE-02,ACPE,124,NA,NA
1990,ACPE-03,ACPE,124,153,29
1991,ACPE-03,ACPE,119,NA,NA
1992,ACPE-03,ACPE,134,141,7
1993,ACPE-03,ACPE,120,NA,NA
1994,ACPE-03,ACPE,127,134,7
1995,ACPE-03,ACPE,126,NA,NA
1996,ACPE-03,ACPE,132,140,8
1997,ACPE-03,ACPE,134,144,10
1998,ACPE-03,ACPE,122,126,4
1999,ACPE-03,ACPE,125,NA,NA
2000,ACPE-03,ACPE,128,130,2
2001,ACPE-03,ACPE,124,NA,NA
2002,ACPE-03,ACPE,121,128,7
2003,ACPE-03,ACPE,132,132,0
2004,ACPE-03,ACPE,123,128,5
2005,ACPE-03,ACPE,132,NA,NA
2006,ACPE-03,ACPE,126,134,8
2007,ACPE-03,ACPE,129,NA,NA
2008,ACPE-03,ACPE,130,134,4
2009,ACPE-03,ACPE,120,126,6
2010,ACPE-03,ACPE,115,116,1
2011,ACPE-03,ACPE,128,132,4
2012,ACPE-03,ACPE,112,124,12
2013,ACPE-03,ACPE,128,128,0
2014,ACPE-03,ACPE,133,138,5
2015,ACPE-03,ACPE,129,129,0
2016,ACPE-03,ACPE,131,133,2
2017,ACPE-03,ACPE,124,133,9
2018,ACPE-03,ACPE,128,134,6
2019,ACPE-03,ACPE,131,138,7
2020,ACPE-03,ACPE,137,150,13
2021,ACPE-03,ACPE,125,130,5
2022,ACPE-03,ACPE,130,134,4
2023,ACPE-03,ACPE,123,125,2
1990,ACPE-04,ACPE,129,141,12
1991,ACPE-04,ACPE,119,NA,NA
1992,ACPE-04,ACPE,138,141,3
1993,ACPE-04,ACPE,123,130,7
1994,ACPE-04,ACPE,135,134,-1
1995,ACPE-04,ACPE,131,139,8
1996,ACPE-04,ACPE,137,140,3
1997,ACPE-04,ACPE,136,144,8
1998,ACPE-04,ACPE,120,126,6
1999,ACPE-04,ACPE,128,NA,NA
2000,ACPE-04,ACPE,128,130,2
2001,ACPE-04,ACPE,127,NA,NA
2002,ACPE-04,ACPE,131,136,5
2003,ACPE-04,ACPE,137,138,1
2004,ACPE-04,ACPE,128,133,5
2005,ACPE-04,ACPE,132,NA,NA
2006,ACPE-04,ACPE,130,NA,NA
2007,ACPE-04,ACPE,130,NA,NA
2008,ACPE-04,ACPE,130,134,4
2009,ACPE-04,ACPE,125,129,4
2010,ACPE-04,ACPE,119,NA,NA
2011,ACPE-04,ACPE,130,136,6
2012,ACPE-04,ACPE,117,NA,NA
2013,ACPE-04,ACPE,128,132,4
2014,ACPE-04,ACPE,135,NA,NA
2015,ACPE-04,ACPE,129,NA,NA
2016,ACPE-04,ACPE,133,NA,NA
2017,ACPE-04,ACPE,128,NA,NA
2018,ACPE-04,ACPE,130,NA,NA
2019,ACPE-04,ACPE,134,138,4
2020,ACPE-04,ACPE,137,NA,NA
2021,ACPE-04,ACPE,129,130,1
2022,ACPE-04,ACPE,135,134,-1
2023,ACPE-04,ACPE,125,125,0
1990,ACRU-01,ACRU,121,104,-17
1991,ACRU-01,ACRU,129,97,-32
1992,ACRU-01,ACRU,138,112,-26
1993,ACRU-01,ACRU,120,108,-12
1994,ACRU-01,ACRU,135,103,-32
1995,ACRU-01,ACRU,130,114,-16
1996,ACRU-01,ACRU,119,102,-17
1997,ACRU-01,ACRU,137,113,-24
1998,ACRU-01,ACRU,125,93,-32
1999,ACRU-01,ACRU,130,95,-35
2000,ACRU-01,ACRU,131,93,-38
2001,ACRU-01,ACRU,124,110,-14
2002,ACRU-01,ACRU,132,100,-32
2003,ACRU-01,ACRU,139,108,-31
2004,ACRU-01,ACRU,132,106,-26
2005,ACRU-01,ACRU,134,100,-34
2006,ACRU-01,ACRU,138,95,-43
2007,ACRU-01,ACRU,133,112,-21
2008,ACRU-01,ACRU,133,111,-22
2009,ACRU-01,ACRU,129,102,-27
2010,ACRU-01,ACRU,121,94,-27
2011,ACRU-01,ACRU,133,108,-25
2012,ACRU-01,ACRU,125,82,-43
2013,ACRU-01,ACRU,129,104,-25
2014,ACRU-01,ACRU,137,111,-26
2015,ACRU-01,ACRU,132,110,-22
2016,ACRU-01,ACRU,136,90,-46
2017,ACRU-01,ACRU,137,104,-33
2018,ACRU-01,ACRU,133,112,-21
2019,ACRU-01,ACRU,139,110,-29
2020,ACRU-01,ACRU,142,94,-48
2021,ACRU-01,ACRU,136,94,-42
2022,ACRU-01,ACRU,136,98,-38
2023,ACRU-01,ACRU,129,100,-29
1990,ACRU-02,ACRU,120,96,-24
1991,ACRU-02,ACRU,119,97,-22
1992,ACRU-02,ACRU,131,112,-19
1993,ACRU-02,ACRU,119,108,-11
1994,ACRU-02,ACRU,125,108,-17
1995,ACRU-02,ACRU,126,108,-18
1996,ACRU-02,ACRU,125,102,-23
1997,ACRU-02,ACRU,132,113,-19
1998,ACRU-02,ACRU,120,93,-27
1999,ACRU-02,ACRU,126,100,-26
2000,ACRU-02,ACRU,130,93,-37
2001,ACRU-02,ACRU,123,110,-13
2002,ACRU-02,ACRU,127,100,-27
2003,ACRU-02,ACRU,133,108,-25
2004,ACRU-02,ACRU,125,106,-19
2005,ACRU-02,ACRU,131,106,-25
2006,ACRU-02,ACRU,128,95,-33
2007,ACRU-02,ACRU,130,112,-18
2008,ACRU-02,ACRU,128,111,-17
2009,ACRU-02,ACRU,122,102,-20
2010,ACRU-02,ACRU,113,94,-19
2011,ACRU-02,ACRU,128,108,-20
2012,ACRU-02,ACRU,113,82,-31
2013,ACRU-02,ACRU,125,110,-15
2014,ACRU-02,ACRU,134,111,-23
2015,ACRU-02,ACRU,130,110,-20
2016,ACRU-02,ACRU,133,90,-43
2017,ACRU-02,ACRU,128,104,-24
2018,ACRU-02,ACRU,127,112,-15
2019,ACRU-02,ACRU,128,110,-18
2020,ACRU-02,ACRU,137,102,-35
2021,ACRU-02,ACRU,130,94,-36
2022,ACRU-02,ACRU,132,98,-34
2023,ACRU-02,ACRU,126,100,-26
1990,ACRU-03,ACRU,132,104,-28
1991,ACRU-03,ACRU,125,100,-25
1992,ACRU-03,ACRU,138,120,-18
1993,ACRU-03,ACRU,125,108,-17
1994,ACRU-03,ACRU,135,108,-27
1995,ACRU-03,ACRU,139,120,-19
1996,ACRU-03,ACRU,132,111,-21
1997,ACRU-03,ACRU,139,108,-31
1998,ACRU-03,ACRU,122,93,-29
1999,ACRU-03,ACRU,129,100,-29
2000,ACRU-03,ACRU,130,93,-37
2001,ACRU-03,ACRU,124,110,-14
2002,ACRU-03,ACRU,131,100,-31
2003,ACRU-03,ACRU,136,108,-28
2004,ACRU-03,ACRU,128,106,-22
2005,ACRU-03,ACRU,133,100,-33
2006,ACRU-03,ACRU,129,95,-34
2007,ACRU-03,ACRU,130,112,-18
2008,ACRU-03,ACRU,131,104,-27
2009,ACRU-03,ACRU,124,109,-15
2010,ACRU-03,ACRU,116,94,-22
2011,ACRU-03,ACRU,128,108,-20
2012,ACRU-03,ACRU,120,82,-38
2013,ACRU-03,ACRU,128,104,-24
2014,ACRU-03,ACRU,137,111,-26
2015,ACRU-03,ACRU,129,110,-19
2016,ACRU-03,ACRU,135,90,-45
2017,ACRU-03,ACRU,129,104,-25
2018,ACRU-03,ACRU,130,112,-18
2019,ACRU-03,ACRU,133,104,-29
2020,ACRU-03,ACRU,138,94,-44
2021,ACRU-03,ACRU,131,94,-37
2022,ACRU-03,ACRU,135,98,-37
2023,ACRU-03,ACRU,131,100,-31
1990,ACRU-04,ACRU,124,96,-28
1991,ACRU-04,ACRU,116,97,-19
1992,ACRU-04,ACRU,134,120,-14
1993,ACRU-04,ACRU,121,108,-13
1994,ACRU-04,ACRU,128,108,-20
1995,ACRU-04,ACRU,128,104,-24
1996,ACRU-04,ACRU,120,111,-9
1997,ACRU-04,ACRU,131,108,-23
1998,ACRU-04,ACRU,113,93,-20
1999,ACRU-04,ACRU,125,95,-30
2000,ACRU-04,ACRU,128,93,-35
2001,ACRU-04,ACRU,122,110,-12
2002,ACRU-04,ACRU,127,100,-27
2003,ACRU-04,ACRU,127,108,-19
2004,ACRU-04,ACRU,124,106,-18
2005,ACRU-04,ACRU,122,100,-22
2006,ACRU-04,ACRU,124,95,-29
2007,ACRU-04,ACRU,126,112,-14
2008,ACRU-04,ACRU,122,111,-11
2009,ACRU-04,ACRU,120,109,-11
2010,ACRU-04,ACRU,109,94,-15
2011,ACRU-04,ACRU,125,108,-17
2012,ACRU-04,ACRU,109,NA,NA
2013,ACRU-04,ACRU,121,110,-11
2014,ACRU-04,ACRU,135,NA,NA
2015,ACRU-04,ACRU,126,116,-10
2016,ACRU-04,ACRU,132,NA,NA
2017,ACRU-04,ACRU,119,104,-15
2018,ACRU-04,ACRU,126,NA,NA
2019,ACRU-04,ACRU,128,NA,NA
2020,ACRU-04,ACRU,137,102,-35
2021,ACRU-04,ACRU,125,101,-24
2022,ACRU-04,ACRU,130,NA,NA
2023,ACRU-04,ACRU,112,NA,NA
1990,ACRU-05,ACRU,119,96,-23
1991,ACRU-05,ACRU,114,97,-17
1992,ACRU-05,ACRU,131,120,-11
1993,ACRU-05,ACRU,117,102,-15
1994,ACRU-05,ACRU,122,108,-14
1995,ACRU-05,ACRU,126,104,-22
1996,ACRU-05,ACRU,120,106,-14
1997,ACRU-05,ACRU,128,108,-20
1998,ACRU-05,ACRU,111,93,-18
1999,ACRU-05,ACRU,120,100,-20
2000,ACRU-05,ACRU,127,93,-34
2001,ACRU-05,ACRU,121,110,-11
2002,ACRU-05,ACRU,108,100,-8
2003,ACRU-05,ACRU,126,108,-18
2004,ACRU-05,ACRU,122,106,-16
2005,ACRU-05,ACRU,121,100,-21
2006,ACRU-05,ACRU,121,95,-26
2007,ACRU-05,ACRU,125,112,-13
2008,ACRU-05,ACRU,117,104,-13
2009,ACRU-05,ACRU,119,102,-17
2010,ACRU-05,ACRU,106,94,-12
2011,ACRU-05,ACRU,125,108,-17
2012,ACRU-05,ACRU,107,82,-25
2013,ACRU-05,ACRU,122,104,-18
2014,ACRU-05,ACRU,132,111,-21
2015,ACRU-05,ACRU,128,110,-18
2016,ACRU-05,ACRU,126,90,-36
2017,ACRU-05,ACRU,120,104,-16
2018,ACRU-05,ACRU,126,112,-14
2019,ACRU-05,ACRU,127,104,-23
2020,ACRU-05,ACRU,126,94,-32
2021,ACRU-05,ACRU,125,94,-31
2022,ACRU-05,ACRU,128,98,-30
2023,ACRU-05,ACRU,117,100,-17
1990,ACSA-01,ACSA,118,104,-14
1991,ACSA-01,ACSA,114,NA,NA
1992,ACSA-01,ACSA,124,NA,NA
1993,ACSA-01,ACSA,116,134,18
1994,ACSA-01,ACSA,121,NA,NA
1995,ACSA-01,ACSA,126,NA,NA
1996,ACSA-01,ACSA,119,NA,NA
1997,ACSA-01,ACSA,126,NA,NA
1998,ACSA-01,ACSA,109,NA,NA
1999,ACSA-01,ACSA,120,NA,NA
2000,ACSA-01,ACSA,124,NA,NA
2001,ACSA-01,ACSA,120,NA,NA
2002,ACSA-01,ACSA,108,NA,NA
2003,ACSA-01,ACSA,123,NA,NA
2004,ACSA-01,ACSA,120,NA,NA
2005,ACSA-01,ACSA,117,NA,NA
2006,ACSA-01,ACSA,117,NA,NA
2007,ACSA-01,ACSA,123,NA,NA
2008,ACSA-01,ACSA,116,NA,NA
2009,ACSA-01,ACSA,116,NA,NA
2010,ACSA-01,ACSA,105,NA,NA
2011,ACSA-01,ACSA,121,NA,NA
2012,ACSA-01,ACSA,106,NA,NA
2013,ACSA-01,ACSA,121,NA,NA
2014,ACSA-01,ACSA,130,NA,NA
2015,ACSA-01,ACSA,124,NA,NA
2016,ACSA-01,ACSA,126,NA,NA
2017,ACSA-01,ACSA,118,NA,NA
2018,ACSA-01,ACSA,126,NA,NA
2019,ACSA-01,ACSA,121,NA,NA
2020,ACSA-01,ACSA,126,NA,NA
2021,ACSA-01,ACSA,119,NA,NA
2022,ACSA-01,ACSA,124,NA,NA
2023,ACSA-01,ACSA,112,NA,NA
1990,ACSA-02,ACSA,120,NA,NA
1991,ACSA-02,ACSA,114,NA,NA
1992,ACSA-02,ACSA,131,NA,NA
1993,ACSA-02,ACSA,117,NA,NA
1994,ACSA-02,ACSA,121,NA,NA
1995,ACSA-02,ACSA,126,NA,NA
1996,ACSA-02,ACSA,125,NA,NA
1997,ACSA-02,ACSA,125,NA,NA
1998,ACSA-02,ACSA,111,NA,NA
1999,ACSA-02,ACSA,120,NA,NA
2000,ACSA-02,ACSA,124,NA,NA
2001,ACSA-02,ACSA,120,NA,NA
2002,ACSA-02,ACSA,108,NA,NA
2003,ACSA-02,ACSA,127,NA,NA
2004,ACSA-02,ACSA,120,NA,NA
2005,ACSA-02,ACSA,118,NA,NA
2006,ACSA-02,ACSA,121,NA,NA
2007,ACSA-02,ACSA,126,NA,NA
2008,ACSA-02,ACSA,118,NA,NA
2009,ACSA-02,ACSA,119,NA,NA
2010,ACSA-02,ACSA,107,NA,NA
2011,ACSA-02,ACSA,124,NA,NA
2012,ACSA-02,ACSA,108,NA,NA
2013,ACSA-02,ACSA,121,NA,NA
2014,ACSA-02,ACSA,130,NA,NA
2015,ACSA-02,ACSA,126,NA,NA
2016,ACSA-02,ACSA,129,NA,NA
2017,ACSA-02,ACSA,118,NA,NA
2018,ACSA-02,ACSA,126,NA,NA
2019,ACSA-02,ACSA,123,NA,NA
2020,ACSA-02,ACSA,131,NA,NA
2021,ACSA-02,ACSA,120,NA,NA
2022,ACSA-02,ACSA,129,NA,NA
2023,ACSA-02,ACSA,112,NA,NA
1990,ACSA-03,ACSA,130,120,-10
1991,ACSA-03,ACSA,114,114,0
1992,ACSA-03,ACSA,134,130,-4
1993,ACSA-03,ACSA,122,NA,NA
1994,ACSA-03,ACSA,126,121,-5
1995,ACSA-03,ACSA,131,126,-5
1996,ACSA-03,ACSA,119,119,0
1997,ACSA-03,ACSA,135,NA,NA
1998,ACSA-03,ACSA,120,106,-14
1999,ACSA-03,ACSA,124,120,-4
2000,ACSA-03,ACSA,127,119,-8
2001,ACSA-03,ACSA,121,NA,NA
2002,ACSA-03,ACSA,124,108,-16
2003,ACSA-03,ACSA,127,120,-7
2004,ACSA-03,ACSA,126,120,-6
2005,ACSA-03,ACSA,132,124,-8
2006,ACSA-03,ACSA,123,114,-9
2007,ACSA-03,ACSA,129,122,-7
2008,ACSA-04,ACSA,117,116,-1
2009,ACSA-04,ACSA,119,115,-4
2010,ACSA-04,ACSA,111,NA,NA
2011,ACSA-04,ACSA,125,118,-7
2012,ACSA-04,ACSA,116,106,-10
2013,ACSA-04,ACSA,121,116,-5
2014,ACSA-04,ACSA,130,NA,NA
2015,ACSA-04,ACSA,126,122,-4
2016,ACSA-04,ACSA,132,114,-18
2017,ACSA-04,ACSA,118,110,-8
2018,ACSA-04,ACSA,126,NA,NA
2019,ACSA-04,ACSA,127,116,-11
2020,ACSA-04,ACSA,136,123,-13
2021,ACSA-04,ACSA,120,108,-12
2022,ACSA-04,ACSA,131,NA,NA
2023,ACSA-04,ACSA,115,107,-8
1990,AMSP-01,AMSP,121,116,-5
1991,AMSP-01,AMSP,119,114,-5
1992,AMSP-01,AMSP,124,130,6
1993,AMSP-01,AMSP,116,112,-4
1994,AMSP-01,AMSP,121,108,-13
1995,AMSP-01,AMSP,126,126,0
1996,AMSP-01,AMSP,119,114,-5
1997,AMSP-01,AMSP,123,138,15
1998,AMSP-01,AMSP,109,136,27
1999,AMSP-01,AMSP,120,114,-6
2000,AMSP-01,AMSP,124,134,10
2001,AMSP-01,AMSP,121,120,-1
2002,AMSP-01,AMSP,109,NA,NA
2003,AMSP-01,AMSP,127,123,-4
2004,AMSP-01,AMSP,120,NA,NA
2005,AMSP-01,AMSP,119,NA,NA
2006,AMSP-01,AMSP,121,NA,NA
2007,AMSP-01,AMSP,125,NA,NA
2008,AMSP-01,AMSP,117,NA,NA
2009,AMSP-01,AMSP,119,NA,NA
2010,AMSP-01,AMSP,101,NA,NA
2011,AMSP-01,AMSP,121,NA,NA
2012,AMSP-01,AMSP,112,NA,NA
2013,AMSP-01,AMSP,121,NA,NA
2014,AMSP-01,AMSP,129,NA,NA
2015,AMSP-01,AMSP,126,NA,NA
2016,AMSP-01,AMSP,122,NA,NA
2017,AMSP-01,AMSP,118,NA,NA
2018,AMSP-01,AMSP,126,NA,NA
2019,AMSP-01,AMSP,122,NA,NA
2020,AMSP-01,AMSP,124,NA,NA
2021,AMSP-01,AMSP,119,NA,NA
2022,AMSP-01,AMSP,128,NA,NA
2023,AMSP-01,AMSP,113,NA,NA
1990,AMSP-02,AMSP,121,136,15
1991,AMSP-02,AMSP,113,104,-9
1992,AMSP-02,AMSP,122,NA,NA
1993,AMSP-02,AMSP,116,102,-14
1994,AMSP-02,AMSP,109,115,6
1995,AMSP-02,AMSP,126,126,0
1996,AMSP-02,AMSP,115,NA,NA
1997,AMSP-02,AMSP,122,130,8
1998,AMSP-02,AMSP,106,111,5
1999,AMSP-02,AMSP,120,114,-6
2000,AMSP-02,AMSP,123,124,1
2001,AMSP-02,AMSP,120,124,4
2002,AMSP-02,AMSP,110,NA,NA
2003,AMSP-02,AMSP,123,123,0
2004,AMSP-02,AMSP,118,NA,NA
2005,AMSP-02,AMSP,114,NA,NA
2006,AMSP-02,AMSP,121,NA,NA
2007,AMSP-02,AMSP,122,NA,NA
2008,AMSP-02,AMSP,112,NA,NA
2009,AMSP-02,AMSP,117,NA,NA
2010,AMSP-02,AMSP,99,NA,NA
2011,AMSP-02,AMSP,120,NA,NA
2012,AMSP-02,AMSP,113,NA,NA
2013,AMSP-02,AMSP,121,NA,NA
2014,AMSP-02,AMSP,128,NA,NA
2015,AMSP-02,AMSP,123,NA,NA
2016,AMSP-02,AMSP,128,NA,NA
2017,AMSP-02,AMSP,118,NA,NA
2018,AMSP-02,AMSP,126,NA,NA
2019,AMSP-02,AMSP,122,NA,NA
2020,AMSP-02,AMSP,129,NA,NA
2021,AMSP-02,AMSP,115,NA,NA
2022,AMSP-02,AMSP,126,NA,NA
2023,AMSP-02,AMSP,114,NA,NA
1990,AMSP-03,AMSP,129,NA,NA
1991,AMSP-03,AMSP,125,NA,NA
1992,AMSP-03,AMSP,138,NA,NA
1993,AMSP-03,AMSP,119,NA,NA
1994,AMSP-03,AMSP,123,NA,NA
1995,AMSP-03,AMSP,126,NA,NA
1996,AMSP-03,AMSP,120,NA,NA
1997,AMSP-03,AMSP,131,NA,NA
1998,AMSP-03,AMSP,117,NA,NA
1999,AMSP-03,AMSP,124,NA,NA
2000,AMSP-03,AMSP,128,NA,NA
2001,AMSP-03,AMSP,124,124,0
2002,AMSP-03,AMSP,118,NA,NA
2003,AMSP-03,AMSP,131,NA,NA
2004,AMSP-03,AMSP,123,NA,NA
2005,AMSP-03,AMSP,124,NA,NA
2006,AMSP-03,AMSP,127,NA,NA
2007,AMSP-03,AMSP,128,NA,NA
2008,AMSP-03,AMSP,125,NA,NA
2009,AMSP-03,AMSP,120,NA,NA
2010,AMSP-03,AMSP,110,NA,NA
2011,AMSP-03,AMSP,126,NA,NA
2012,AMSP-03,AMSP,119,NA,NA
2013,AMSP-03,AMSP,124,NA,NA
2014,AMSP-03,AMSP,133,NA,NA
2015,AMSP-03,AMSP,129,NA,NA
2016,AMSP-03,AMSP,133,NA,NA
2017,AMSP-03,AMSP,123,NA,NA
2018,AMSP-03,AMSP,130,NA,NA
2019,AMSP-03,AMSP,129,NA,NA
2020,AMSP-03,AMSP,136,NA,NA
2021,AMSP-03,AMSP,125,NA,NA
2022,AMSP-03,AMSP,134,NA,NA
2023,AMSP-03,AMSP,NA,NA,NA
1990,AMSP-04,AMSP,116,110,-6
1991,AMSP-04,AMSP,119,100,-19
